"LEMAIRE, Henri"; 
"GRIFFITH, Elizabeth"; 
"LAWRENCE, Herbert"; 
"MACPHERSON, James"; 
"MAYER, Charles-Joseph de"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"SEALLY, John"; 
"ALEMAN, Mateo"; 
"BARBEU DU BOURG, Jacques"; 
"BEAUHARNAIS, Fanny de"; 
"BECCARY, madame"; 
"BEUVIUS, Adam"; 
"BLONDEAU, Etienne-Nicolas"; 
"BROOKE, Frances Moore"; 
"GAIN DE MONTAGNAC, Louis-Laurent-Joseph"; 
"MOTTE, mademoiselle"; 
"MOUTONNET DE CLAIRFONS, Julien-Jacques"; 
"BARDOU, Jean"; 
"DENON, baron"; 
"MACKENZIE, Henry"; 
"MAYER, Charles-Joseph de"; 
"MOLLET, Jean-Louis"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"SEALLY, John"; 
"BEAUHARNAIS, Fanny de"; 
"BOIARDO, Matteo Maria"; 
"FRENAIS, Joseph-Pierre"; 
"LA BORDE, Jean-Benjamin de"; 
"LE FERON, chevalier"; 
"LESUIRE, Robert-Martin"; 
"NOUGARET, Pierre-Jean-Baptisle"; 
"ORTUNEZ DE CALAHORRA, Diego"; 
"RETIF DE LA BRETONNE, Nicolas-Edme"; 
"RETIF DE LA BRETONNE, Nicolas-Edme"; 
"ROUSSEAU, Jean-Jacques"; 
"WIELAND, Christopli Martin"; 
"BEAUHARNAIS, Fanny de"; 
"BECCARY, madame"; 
"BRIDEL, Jean-Louis"; 
"DUBOIS-FONTANELLE, Joseph-Gaspard"; 
"LA PLACE, Pierre-Antoine"; 
"ROUSSEAU, Jean-Jacques"; 
"BERQUIN, Arnaud"; 
"BEU VIUS, Adam"; 
"COURET DE VILLENEUVE, Louis-Pierre"; 
"DURAND, Antoine-Joseph"; 
"HALLER, Albrechtvon"; 
"LA GUESNERIE, Charlotte-Marie-Anne Charbonnier de"; 
"LESUIRE, Robert-Martin"; 
"LE VACHER DE CHARNOIS, Jean-Charles"; 
"CAMPE, Joachim"; 
"CASTILHON, Jean"; 
"CONSTANT DE REBECQUE, Samuel de"; 
"FLORIAN, Jean-Pierre"; 
"GRIVEL, Guillaume"; 
"MILLER, Johann Martin"; 
"MONTESQUIEU, Charles-Louis de"; 
"PESTALOZZI, Johann Heinrich"; 
"PRATT, Samuel Jackson"; 
"BERQUIN, Arnaud"; 
"CAMBRY, Jacques"; 
"FLORIAN, Jean-Pierre Claris de"; 
"GORJY, Jean-Claude"; 
"JACOBI, Johann Georg"; 
"LE CAMUS DE MEZIERES, Nicolas"; 
"MAYER, Charles-Joseph de"; 
"MAYER, Charles-Joseph de"; 
"PEZZL, Johann"; 
"PIROUX, Joseph"; 
"POUGENS, Marie-Charles-Joseph de"; 
"REEVE, Mrs Clara"; 
"BRICAIRE DE LA DIXMERIE, Nicolas"; 
"CONSTANT DE REBECQUE, Samuel de"; 
"DIDOT, Pierre"; 
"FONTETTE DE SOMMERY, mademoiselle"; 
"GRAJNVILLE, Jean-Baptiste-Christophe"; 
"HAREN, Willem van"; 
"LA VEAUX, Jean-Cliarles-Thibault de"; 
"LESUIRE, Robert-Martin"; 
"MAYER, Charles-Joseph de"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"STERNE, Laurence"; 
"BEAUHARNAIS, Fanny de"; 
"CONSTANT DE REBECQUE, Samuel de"; 
"DAUBENTON, Marguerite"; 
"DAY, Thomas"; 
"DEMOUSTIER, Charles-Albert"; 
"FLORIAN, Jean-Pierre"; 
"HAVE, Adrien-Joseph"; 
"LANTEIRES, Jean"; 
"LECLERC, Jean-Baptiste"; 
"LEE, Sophia"; 
"MAIMIEUX, Joseph de"; 
"MAIMIEUX, Joseph de"; 
"MONTOLIEU, Elisabeth-Jeanne-Pauline"; 
"MULLER, Johann Gottwerth"; 
"RETIF DE LA BRETONNE, Nicolas-Edme"; 
"VILLETERQUE, Alexandre-Louis"; 
"BEAUHARNAIS, Fanny de"; 
"BECKFORD, William Vathek"; 
"COMBE, William"; 
